#Object 1 Info:
#Object: Sun 1
#   Mass: 0.500000 Solar masses
#   Position: (2.600000, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 1.377427, 0.000000) AU/year

#Object 2 Info:
#Object: Sun 2
#   Mass: 0.500000 Solar masses
#   Position: (-2.600000, 0.000000, 0.000000) AU
#   Velocity: (0.000000, -1.377427, 0.000000) AU/year

# Integration Parameters: 
#    Time Step: 0.010000 years
#    Total Time: 11.200000 years
#    Integrator: Verlet

Time,Sun 1_x,Sun 1_y,Sun 1_z,Sun 2_x,Sun 2_y,Sun 2_z
2.55,0.566171,2.53684,0,-0.566171,-2.53684,0
2.56,0.552715,2.5398,0,-0.552715,-2.5398,0
2.57,0.539243,2.54269,0,-0.539243,-2.54269,0
2.58,0.525756,2.54551,0,-0.525756,-2.54551,0
2.59,0.512254,2.54825,0,-0.512254,-2.54825,0
2.6,0.498738,2.55093,0,-0.498738,-2.55093,0
2.61,0.485207,2.55353,0,-0.485207,-2.55353,0
2.62,0.471664,2.55606,0,-0.471664,-2.55606,0
2.63,0.458106,2.55852,0,-0.458106,-2.55852,0
2.64,0.444536,2.56091,0,-0.444536,-2.56091,0
2.65,0.430954,2.56322,0,-0.430954,-2.56322,0
2.66,0.417359,2.56547,0,-0.417359,-2.56547,0
2.67,0.403753,2.56764,0,-0.403753,-2.56764,0
2.68,0.390135,2.56974,0,-0.390135,-2.56974,0
2.69,0.376506,2.57176,0,-0.376506,-2.57176,0
2.7,0.362867,2.57372,0,-0.362867,-2.57372,0
2.71,0.349218,2.5756,0,-0.349218,-2.5756,0
2.72,0.335558,2.57741,0,-0.335558,-2.57741,0
2.73,0.32189,2.57915,0,-0.32189,-2.57915,0
2.74,0.308212,2.58081,0,-0.308212,-2.58081,0
2.75,0.294526,2.58241,0,-0.294526,-2.58241,0
2.76,0.280831,2.58393,0,-0.280831,-2.58393,0
2.77,0.267128,2.58537,0,-0.267128,-2.58537,0
2.78,0.253418,2.58675,0,-0.253418,-2.58675,0
2.79,0.239701,2.58805,0,-0.239701,-2.58805,0
2.8,0.225977,2.58928,0,-0.225977,-2.58928,0
2.81,0.212247,2.59044,0,-0.212247,-2.59044,0
2.82,0.198511,2.59152,0,-0.198511,-2.59152,0
2.83,0.184769,2.59253,0,-0.184769,-2.59253,0
2.84,0.171022,2.59347,0,-0.171022,-2.59347,0
2.85,0.15727,2.59433,0,-0.15727,-2.59433,0
2.86,0.143514,2.59513,0,-0.143514,-2.59513,0
2.87,0.129753,2.59585,0,-0.129753,-2.59585,0
2.88,0.115989,2.59649,0,-0.115989,-2.59649,0
2.89,0.102222,2.59707,0,-0.102222,-2.59707,0
2.9,0.0884522,2.59757,0,-0.0884522,-2.59757,0
2.91,0.0746797,2.59799,0,-0.0746797,-2.59799,0
2.92,0.060905,2.59835,0,-0.060905,-2.59835,0
