#Object 1 Info:
#Object: Sun
#   Mass: 1.000000 Solar masses
#   Position: (0.049166, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 0.026030, 0.000000) AU/year

#Object 2 Info:
#Object: Earth
#   Mass: 0.000003 Solar masses
#   Position: (1.049166, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 6.309215, 0.000000) AU/year

#Object 3 Info:
#Object: Jupiter
#   Mass: 0.009546 Solar masses
#   Position: (-5.150831, 0.000000, 0.000000) AU
#   Velocity: (0.000000, -2.728804, 0.000000) AU/year

# Integration Parameters: 
#    Time Step: 0.010000 years
#    Total Time: 11.200000 years
#    Integrator: Verlet

Time,Sun_x,Sun_y,Sun_z,Earth_x,Earth_y,Earth_z,Jupiter_x,Jupiter_y,Jupiter_z
1.78,0.0286551,0.0397102,0,0.22504,-0.940694,0,-3.0019,-4.15964,0
1.79,0.0284412,0.039861,0,0.286018,-0.926317,0,-2.97951,-4.17544,0
1.8,0.0282265,0.0400106,0,0.345978,-0.908125,0,-2.95704,-4.19111,0
1.81,0.0280109,0.040159,0,0.404682,-0.886191,0,-2.93447,-4.20667,0
1.82,0.0277946,0.0403063,0,0.461898,-0.860601,0,-2.91183,-4.22211,0
1.83,0.0275775,0.0404524,0,0.517399,-0.831457,0,-2.8891,-4.23742,0
1.84,0.0273595,0.0405973,0,0.570965,-0.798872,0,-2.86629,-4.25261,0
1.85,0.0271409,0.0407411,0,0.622385,-0.762975,0,-2.8434,-4.26768,0
1.86,0.0269214,0.0408837,0,0.671455,-0.723907,0,-2.82042,-4.28263,0
1.87,0.0267012,0.0410251,0,0.717981,-0.681823,0,-2.79737,-4.29746,0
1.88,0.0264802,0.0411653,0,0.761778,-0.636888,0,-2.77423,-4.31216,0
1.89,0.0262584,0.0413043,0,0.802674,-0.589279,0,-2.75101,-4.32674,0
1.9,0.0260359,0.0414421,0,0.840505,-0.539183,0,-2.72772,-4.34119,0
1.91,0.0258127,0.0415787,0,0.875122,-0.486797,0,-2.70434,-4.35552,0
1.92,0.0255887,0.0417142,0,0.906387,-0.432328,0,-2.68089,-4.36972,0
1.93,0.0253641,0.0418484,0,0.934178,-0.37599,0,-2.65736,-4.3838,0
1.94,0.0251387,0.0419814,0,0.958382,-0.318005,0,-2.63376,-4.39775,0
1.95,0.0249125,0.0421132,0,0.978905,-0.258601,0,-2.61008,-4.41158,0
1.96,0.0246857,0.0422438,0,0.995663,-0.198012,0,-2.58632,-4.42528,0
1.97,0.0244582,0.0423731,0,1.00859,-0.136475,0,-2.56249,-4.43885,0
1.98,0.02423,0.0425013,0,1.01763,-0.0742343,0,-2.53859,-4.45229,0
1.99,0.0240011,0.0426282,0,1.02276,-0.0115338,0,-2.51461,-4.46561,0
2,0.0237715,0.0427539,0,1.02394,0.0513795,0,-2.49056,-4.4788,0
2.01,0.0235413,0.0428784,0,1.02118,0.114258,0,-2.46644,-4.49185,0
2.02,0.0233103,0.0430016,0,1.01448,0.176854,0,-2.44225,-4.50478,0
2.03,0.0230788,0.0431236,0,1.00387,0.23892,0,-2.41798,-4.51758,0
2.04,0.0228465,0.0432443,0,0.989383,0.300214,0,-2.39365,-4.53025,0
2.05,0.0226137,0.0433638,0,0.971085,0.360492,0,-2.36925,-4.54279,0
2.06,0.0223802,0.0434821,0,0.949043,0.419518,0,-2.34478,-4.5552,0
2.07,0.022146,0.0435991,0,0.923343,0.477058,0,-2.32025,-4.56747,0
2.08,0.0219112,0.0437149,0,0.894084,0.532887,0,-2.29564,-4.57962,0
2.09,0.0216758,0.0438294,0,0.861382,0.586783,0,-2.27097,-4.59163,0
2.1,0.0214398,0.0439427,0,0.825363,0.638535,0,-2.24624,-4.60351,0
2.11,0.0212032,0.0440547,0,0.786169,0.687937,0,-2.22144,-4.61526,0
2.12,0.020966,0.0441654,0,0.743954,0.734797,0,-2.19657,-4.62687,0
2.13,0.0207282,0.0442749,0,0.698883,0.778927,0,-2.17165,-4.63836,0
2.14,0.0204898,0.0443831,0,0.651133,0.820155,0,-2.14666,-4.6497,0
2.15,0.0202508,0.04449,0,0.60089,0.858316,0,-2.1216,-4.66092,0
2.16,0.0200112,0.0445956,0,0.548353,0.893262,0,-2.09649,-4.672,0
2.17,0.0197711,0.0447,0,0.493728,0.924853,0,-2.07132,-4.68294,0
2.18,0.0195304,0.0448031,0,0.437229,0.952965,0,-2.04608,-4.69375,0
2.19,0.0192891,0.0449049,0,0.379079,0.977486,0,-2.02079,-4.70443,0
2.2,0.0190473,0.0450055,0,0.319507,0.998321,0,-1.99544,-4.71496,0
2.21,0.0188049,0.0451047,0,0.258746,1.01539,0,-1.97003,-4.72537,0
2.22,0.018562,0.0452027,0,0.197036,1.02861,0,-1.94457,-4.73563,0
2.23,0.0183186,0.0452993,0,0.134621,1.03795,0,-1.91905,-4.74576,0
2.24,0.0180746,0.0453947,0,0.0717447,1.04336,0,-1.89347,-4.75575,0
2.25,0.0178301,0.0454888,0,0.00865615,1.04483,0,-1.86784,-4.76561,0
2.26,0.0175851,0.0455815,0,-0.0543965,1.04234,0,-1.84215,-4.77532,0
2.27,0.0173396,0.045673,0,-0.117165,1.0359,0,-1.81642,-4.7849,0
2.28,0.0170936,0.0457631,0,-0.179401,1.02555,0,-1.79062,-4.79434,0
2.29,0.0168471,0.045852,0,-0.24086,1.01132,0,-1.76478,-4.80365,0
2.3,0.0166001,0.0459395,0,-0.3013,0.993275,0,-1.73889,-4.81281,0
2.31,0.0163526,0.0460257,0,-0.360483,0.971476,0,-1.71294,-4.82183,0
2.32,0.0161047,0.0461106,0,-0.418174,0.946014,0,-1.68695,-4.83072,0
2.33,0.0158563,0.0461942,0,-0.474147,0.91699,0,-1.66091,-4.83946,0
2.34,0.0156074,0.0462764,0,-0.528182,0.884519,0,-1.63482,-4.84807,0
2.35,0.015358,0.0463573,0,-0.580064,0.84873,0,-1.60868,-4.85653,0
2.36,0.0151082,0.0464369,0,-0.62959,0.809764,0,-1.5825,-4.86486,0
2.37,0.014858,0.0465152,0,-0.676565,0.767775,0,-1.55627,-4.87304,0
2.38,0.0146073,0.0465921,0,-0.720803,0.722931,0,-1.52999,-4.88108,0
2.39,0.0143562,0.0466676,0,-0.76213,0.675408,0,-1.50367,-4.88899,0
2.4,0.0141046,0.0467419,0,-0.800384,0.625395,0,-1.47731,-4.89675,0
2.41,0.0138527,0.0468148,0,-0.835414,0.573091,0,-1.4509,-4.90436,0
2.42,0.0136003,0.0468863,0,-0.867083,0.518702,0,-1.42446,-4.91184,0
2.43,0.0133475,0.0469565,0,-0.895265,0.462444,0,-1.39797,-4.91917,0
2.44,0.0130944,0.0470253,0,-0.919851,0.404541,0,-1.37144,-4.92637,0
2.45,0.0128408,0.0470928,0,-0.940744,0.345221,0,-1.34487,-4.93342,0
2.46,0.0125868,0.0471589,0,-0.957863,0.284719,0,-1.31826,-4.94032,0
2.47,0.0123325,0.0472236,0,-0.97114,0.223275,0,-1.29162,-4.94708,0
2.48,0.0120778,0.047287,0,-0.980524,0.161134,0,-1.26493,-4.9537,0
2.49,0.0118228,0.047349,0,-0.985979,0.09854,0,-1.23821,-4.96018,0
2.5,0.0115674,0.0474096,0,-0.987484,0.0357421,0,-1.21146,-4.96651,0
2.51,0.0113116,0.0474689,0,-0.985035,-0.0270111,0,-1.18466,-4.9727,0
2.52,0.0110555,0.0475267,0,-0.978642,-0.0894711,0,-1.15784,-4.97874,0
2.53,0.0107991,0.0475832,0,-0.968332,-0.15139,0,-1.13098,-4.98464,0
2.54,0.0105424,0.0476384,0,-0.954146,-0.212524,0,-1.10409,-4.9904,0
2.55,0.0102853,0.0476921,0,-0.936143,-0.272629,0,-1.07716,-4.99601,0
2.56,0.0100279,0.0477444,0,-0.914394,-0.331468,0,-1.05021,-5.00147,0
2.57,0.00977023,0.0477954,0,-0.888986,-0.388808,0,-1.02322,-5.00679,0
2.58,0.00951226,0.047845,0,-0.860022,-0.444423,0,-0.996208,-5.01197,0
2.59,0.009254,0.0478931,0,-0.827617,-0.498091,0,-0.969163,-5.017,0
2.6,0.00899546,0.0479399,0,-0.7919,-0.5496,0,-0.942091,-5.02188,0
2.61,0.00873665,0.0479853,0,-0.753014,-0.598747,0,-0.914991,-5.02662,0
2.62,0.00847758,0.0480292,0,-0.711115,-0.645337,0,-0.887864,-5.03121,0
2.63,0.00821826,0.0480718,0,-0.666369,-0.689185,0,-0.860712,-5.03565,0
2.64,0.00795868,0.048113,0,-0.618954,-0.730119,0,-0.833535,-5.03995,0
2.65,0.00769887,0.0481527,0,-0.569059,-0.767977,0,-0.806334,-5.04411,0
2.66,0.00743883,0.0481911,0,-0.516883,-0.802608,0,-0.779109,-5.04811,0
2.67,0.00717857,0.048228,0,-0.462633,-0.833877,0,-0.751861,-5.05197,0
2.68,0.00691809,0.0482635,0,-0.406526,-0.861659,0,-0.724592,-5.05568,0
2.69,0.0066574,0.0482976,0,-0.348783,-0.885845,0,-0.697301,-5.05925,0
2.7,0.00639652,0.0483303,0,-0.289636,-0.906339,0,-0.669991,-5.06267,0
2.71,0.00613545,0.0483616,0,-0.229318,-0.923062,0,-0.64266,-5.06594,0
2.72,0.00587419,0.0483915,0,-0.16807,-0.935946,0,-0.615312,-5.06906,0
2.73,0.00561277,0.0484199,0,-0.106135,-0.944941,0,-0.587945,-5.07204,0
2.74,0.00535118,0.0484469,0,-0.0437576,-0.950013,0,-0.560561,-5.07487,0
2.75,0.00508943,0.0484725,0,0.0188131,-0.951141,0,-0.533161,-5.07755,0
