#Object 1 Info:
#Object: Sun
#   Mass: 1.000000 Solar masses
#   Position: (-0.010078, 0.000000, 0.000000) AU
#   Velocity: (0.000000, -0.003377, 0.000000) AU/year

#Object 2 Info:
#Object: Mercury
#   Mass: 0.000000 Solar masses
#   Position: (0.376922, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 10.046623, 0.000000) AU/year

#Object 3 Info:
#Object: Venus
#   Mass: 0.000002 Solar masses
#   Position: (0.712922, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 7.376624, 0.000000) AU/year

#Object 4 Info:
#Object: Earth
#   Mass: 0.000003 Solar masses
#   Position: (0.989924, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 6.279642, 0.000000) AU/year

#Object 5 Info:
#Object: Mars
#   Mass: 0.000000 Solar masses
#   Position: (1.513927, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 5.076661, 0.000000) AU/year

#Object 6 Info:
#Object: Jupiter
#   Mass: 0.000955 Solar masses
#   Position: (5.192928, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 2.756663, 0.000000) AU/year

#Object 7 Info:
#Object: Saturn
#   Mass: 0.000286 Solar masses
#   Position: (9.531892, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 2.039296, 0.000000) AU/year

#Object 8 Info:
#Object: Uranus
#   Mass: 0.000044 Solar masses
#   Position: (19.188616, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 1.429879, 0.000000) AU/year

#Object 9 Info:
#Object: Neptune
#   Mass: 0.000051 Solar masses
#   Position: (30.068453, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 1.139941, 0.000000) AU/year

# Integration Parameters: 
#    Time Step: 0.010000 years
#    Total Time: 30.000000 years
#    Integrator: Verlet

Time,Sun_x,Sun_y,Sun_z,Mercury_x,Mercury_y,Mercury_z,Venus_x,Venus_y,Venus_z,Earth_x,Earth_y,Earth_z,Mars_x,Mars_y,Mars_z,Jupiter_x,Jupiter_y,Jupiter_z,Saturn_x,Saturn_y,Saturn_z,Uranus_x,Uranus_y,Uranus_z,Neptune_x,Neptune_y,Neptune_z
0.34,-0.00998142,-0.00113197,0,-0.365522,0.12064,0,-0.683376,-0.250954,0,-0.546309,0.842145,0,0.631806,1.37739,0,5.1089,0.932206,0,9.50673,0.692755,0,19.1824,0.486107,0,30.0659,0.387569,0
0.35,-0.00997609,-0.0011646,0,-0.385265,0.0192217,0,-0.654074,-0.319216,0,-0.598245,0.806709,0,0.585229,1.39791,0,5.1039,0.959313,0,9.50523,0.713093,0,19.182,0.500401,0,30.0658,0.398968,0
0.36,-0.00997063,-0.0011972,0,-0.377101,-0.083713,0,-0.617913,-0.38409,0,-0.647854,0.768079,0,0.537984,1.41685,0,5.09876,0.986394,0,9.50368,0.733428,0,19.1817,0.514694,0,30.0656,0.410366,0
0.37,-0.00996506,-0.00122978,0,-0.341734,-0.180534,0,-0.575281,-0.444889,0,-0.69494,0.726405,0,0.490123,1.4342,0,5.09347,1.01345,0,9.50209,0.753759,0,19.1813,0.528988,0,30.0655,0.421764,0
0.38,-0.00995936,-0.00126233,0,-0.281947,-0.264156,0,-0.526634,-0.500968,0,-0.739316,0.681853,0,0.4417,1.44993,0,5.08804,1.04047,0,9.50046,0.774087,0,19.1809,0.543281,0,30.0653,0.433163,0
0.39,-0.00995354,-0.00129487,0,-0.202323,-0.328605,0,-0.472495,-0.551735,0,-0.780807,0.634598,0,0.392769,1.46404,0,5.08247,1.06747,0,9.49879,0.794411,0,19.1804,0.557574,0,30.0651,0.444561,0
0.4,-0.00994759,-0.00132738,0,-0.10882,-0.36944,0,-0.413443,-0.596654,0,-0.819248,0.584828,0,0.343386,1.47649,0,5.07675,1.09443,0,9.49707,0.814732,0,19.18,0.571867,0,30.065,0.455959,0
0.41,-0.00994151,-0.00135987,0,-0.00826782,-0.384032,0,-0.350108,-0.635256,0,-0.854486,0.532738,0,0.293605,1.48729,0,5.07089,1.12137,0,9.49531,0.835049,0,19.1796,0.586159,0,30.0648,0.467357,0
0.42,-0.00993531,-0.00139235,0,0.0921662,-0.371665,0,-0.283166,-0.667136,0,-0.886383,0.478535,0,0.243483,1.4964,0,5.06489,1.14827,0,9.4935,0.855363,0,19.1791,0.600451,0,30.0646,0.478755,0
0.43,-0.00992897,-0.00142481,0,0.185487,-0.333501,0,-0.21333,-0.691963,0,-0.914812,0.422434,0,0.193075,1.50383,0,5.05875,1.17514,0,9.49165,0.875672,0,19.1787,0.614742,0,30.0644,0.490153,0
