#Object 1 Info:
#Object: Sun
#   Mass: 1.000000 Solar masses
#   Position: (0.004959, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 0.002627, 0.000000) AU/year

#Object 2 Info:
#Object: Jupiter
#   Mass: 0.000955 Solar masses
#   Position: (-5.195041, 0.000000, 0.000000) AU
#   Velocity: (0.000000, -2.752226, 0.000000) AU/year

# Integration Parameters: 
#    Time Step: 0.010000 years
#    Total Time: 11.200000 years
#    Integrator: Verlet

Time,Sun_x,Sun_y,Sun_z,Jupiter_x,Jupiter_y,Jupiter_z
1.54,0.00339595,0.00361109,0,-3.5575,-3.78288,0
1.55,0.00337673,0.00362902,0,-3.53737,-3.80167,0
1.56,0.00335743,0.00364686,0,-3.51715,-3.82035,0
1.57,0.00333803,0.00366459,0,-3.49682,-3.83892,0
1.58,0.00331853,0.00368222,0,-3.4764,-3.85739,0
1.59,0.00329894,0.00369975,0,-3.45588,-3.87575,0
1.6,0.00327926,0.00371717,0,-3.43526,-3.894,0
1.61,0.00325949,0.00373448,0,-3.41455,-3.91214,0
1.62,0.00323962,0.00375169,0,-3.39374,-3.93017,0
1.63,0.00321966,0.0037688,0,-3.37283,-3.94809,0
1.64,0.00319962,0.0037858,0,-3.35183,-3.9659,0
1.65,0.00317948,0.00380269,0,-3.33073,-3.9836,0
1.66,0.00315925,0.00381948,0,-3.30955,-4.00118,0
1.67,0.00313894,0.00383616,0,-3.28826,-4.01865,0
1.68,0.00311853,0.00385273,0,-3.26689,-4.03601,0
1.69,0.00309804,0.00386919,0,-3.24542,-4.05326,0
1.7,0.00307746,0.00388554,0,-3.22386,-4.07039,0
1.71,0.0030568,0.00390179,0,-3.20222,-4.08741,0
1.72,0.00303604,0.00391792,0,-3.18048,-4.10431,0
1.73,0.00301521,0.00393395,0,-3.15865,-4.12109,0
1.74,0.00299429,0.00394986,0,-3.13673,-4.13776,0
1.75,0.00297328,0.00396566,0,-3.11473,-4.15432,0
1.76,0.00295219,0.00398135,0,-3.09263,-4.17075,0
1.77,0.00293102,0.00399693,0,-3.07045,-4.18707,0
1.78,0.00290976,0.0040124,0,-3.04818,-4.20328,0
1.79,0.00288842,0.00402775,0,-3.02583,-4.21936,0
1.8,0.002867,0.00404299,0,-3.00339,-4.23532,0
1.81,0.0028455,0.00405811,0,-2.98087,-4.25117,0
1.82,0.00282393,0.00407313,0,-2.95827,-4.26689,0
1.83,0.00280227,0.00408802,0,-2.93558,-4.2825,0
1.84,0.00278053,0.0041028,0,-2.9128,-4.29798,0
1.85,0.00275871,0.00411747,0,-2.88995,-4.31335,0
1.86,0.00273682,0.00413202,0,-2.86701,-4.32859,0
1.87,0.00271485,0.00414645,0,-2.844,-4.34371,0
1.88,0.0026928,0.00416077,0,-2.8209,-4.35871,0
1.89,0.00267068,0.00417497,0,-2.79773,-4.37358,0
1.9,0.00264848,0.00418905,0,-2.77447,-4.38834,0
1.91,0.0026262,0.00420302,0,-2.75114,-4.40297,0
1.92,0.00260386,0.00421686,0,-2.72773,-4.41747,0
1.93,0.00258144,0.00423059,0,-2.70424,-4.43185,0
1.94,0.00255894,0.0042442,0,-2.68068,-4.44611,0
1.95,0.00253638,0.00425769,0,-2.65704,-4.46024,0
1.96,0.00251374,0.00427106,0,-2.63333,-4.47424,0
1.97,0.00249104,0.00428431,0,-2.60954,-4.48812,0
1.98,0.00246826,0.00429743,0,-2.58568,-4.50187,0
1.99,0.00244541,0.00431044,0,-2.56175,-4.5155,0
2,0.0024225,0.00432333,0,-2.53774,-4.529,0
2.01,0.00239951,0.00433609,0,-2.51366,-4.54237,0
2.02,0.00237646,0.00434873,0,-2.48951,-4.55561,0
2.03,0.00235334,0.00436125,0,-2.4653,-4.56873,0
2.04,0.00233016,0.00437365,0,-2.44101,-4.58171,0
2.05,0.00230691,0.00438592,0,-2.41665,-4.59457,0
2.06,0.00228359,0.00439807,0,-2.39223,-4.6073,0
2.07,0.00226021,0.0044101,0,-2.36774,-4.6199,0
2.08,0.00223677,0.004422,0,-2.34318,-4.63236,0
2.09,0.00221326,0.00443378,0,-2.31855,-4.6447,0
2.1,0.00218969,0.00444543,0,-2.29386,-4.65691,0
2.11,0.00216606,0.00445695,0,-2.26911,-4.66898,0
2.12,0.00214237,0.00446836,0,-2.24429,-4.68093,0
2.13,0.00211862,0.00447963,0,-2.21941,-4.69274,0
2.14,0.00209481,0.00449078,0,-2.19446,-4.70442,0
2.15,0.00207094,0.0045018,0,-2.16946,-4.71597,0
2.16,0.00204701,0.0045127,0,-2.14439,-4.72738,0
2.17,0.00202302,0.00452347,0,-2.11926,-4.73866,0
2.18,0.00199898,0.00453411,0,-2.09408,-4.74981,0
2.19,0.00197488,0.00454463,0,-2.06883,-4.76082,0
2.2,0.00195072,0.00455501,0,-2.04353,-4.7717,0
2.21,0.00192651,0.00456527,0,-2.01816,-4.78245,0
2.22,0.00190225,0.0045754,0,-1.99274,-4.79306,0
2.23,0.00187793,0.0045854,0,-1.96727,-4.80354,0
2.24,0.00185356,0.00459527,0,-1.94174,-4.81388,0
2.25,0.00182914,0.00460501,0,-1.91615,-4.82408,0
2.26,0.00180466,0.00461462,0,-1.89052,-4.83415,0
2.27,0.00178014,0.0046241,0,-1.86482,-4.84408,0
2.28,0.00175556,0.00463345,0,-1.83908,-4.85388,0
2.29,0.00173094,0.00464268,0,-1.81328,-4.86354,0
2.3,0.00170626,0.00465177,0,-1.78743,-4.87306,0
2.31,0.00168154,0.00466072,0,-1.76154,-4.88245,0
2.32,0.00165677,0.00466955,0,-1.73559,-4.89169,0
2.33,0.00163195,0.00467825,0,-1.70959,-4.9008,0
2.34,0.00160709,0.00468681,0,-1.68355,-4.90977,0
2.35,0.00158218,0.00469524,0,-1.65745,-4.91861,0
2.36,0.00155723,0.00470354,0,-1.63131,-4.9273,0
2.37,0.00153224,0.00471171,0,-1.60513,-4.93586,0
2.38,0.0015072,0.00471975,0,-1.5789,-4.94427,0
2.39,0.00148212,0.00472765,0,-1.55262,-4.95255,0
2.4,0.00145699,0.00473541,0,-1.52631,-4.96069,0
2.41,0.00143183,0.00474305,0,-1.49994,-4.96869,0
2.42,0.00140662,0.00475055,0,-1.47354,-4.97655,0
2.43,0.00138138,0.00475792,0,-1.4471,-4.98426,0
2.44,0.0013561,0.00476515,0,-1.42061,-4.99184,0
2.45,0.00133077,0.00477225,0,-1.39408,-4.99928,0
2.46,0.00130542,0.00477921,0,-1.36752,-5.00657,0
2.47,0.00128002,0.00478604,0,-1.34091,-5.01373,0
2.48,0.00125459,0.00479274,0,-1.31427,-5.02074,0
2.49,0.00122912,0.0047993,0,-1.28759,-5.02761,0
2.5,0.00120362,0.00480572,0,-1.26088,-5.03434,0
2.51,0.00117808,0.00481201,0,-1.23413,-5.04093,0
2.52,0.00115251,0.00481816,0,-1.20734,-5.04738,0
2.53,0.00112691,0.00482418,0,-1.18052,-5.05368,0
2.54,0.00110128,0.00483006,0,-1.15367,-5.05984,0
2.55,0.00107561,0.00483581,0,-1.12678,-5.06586,0
2.56,0.00104992,0.00484142,0,-1.09987,-5.07173,0
2.57,0.0010242,0.00484689,0,-1.07292,-5.07747,0
2.58,0.000998442,0.00485222,0,-1.04594,-5.08306,0
2.59,0.000972661,0.00485742,0,-1.01893,-5.0885,0
2.6,0.000946852,0.00486249,0,-0.991896,-5.09381,0
2.61,0.000921017,0.00486741,0,-0.964832,-5.09896,0
2.62,0.000895156,0.0048722,0,-0.93774,-5.10398,0
2.63,0.000869269,0.00487685,0,-0.910622,-5.10885,0
2.64,0.000843358,0.00488136,0,-0.883478,-5.11358,0
2.65,0.000817423,0.00488574,0,-0.85631,-5.11816,0
2.66,0.000791465,0.00488997,0,-0.829117,-5.1226,0
2.67,0.000765485,0.00489407,0,-0.8019,-5.1269,0
2.68,0.000739483,0.00489803,0,-0.774662,-5.13105,0
2.69,0.00071346,0.00490186,0,-0.747401,-5.13505,0
2.7,0.000687417,0.00490554,0,-0.720119,-5.13891,0
2.71,0.000661355,0.00490909,0,-0.692817,-5.14263,0
2.72,0.000635274,0.0049125,0,-0.665495,-5.1462,0
2.73,0.000609175,0.00491577,0,-0.638155,-5.14962,0
2.74,0.000583059,0.0049189,0,-0.610797,-5.1529,0
2.75,0.000556927,0.00492189,0,-0.583421,-5.15604,0
2.76,0.000530779,0.00492475,0,-0.556029,-5.15903,0
2.77,0.000504615,0.00492746,0,-0.528621,-5.16187,0
2.78,0.000478438,0.00493004,0,-0.501199,-5.16457,0
2.79,0.000452247,0.00493247,0,-0.473762,-5.16712,0
2.8,0.000426044,0.00493477,0,-0.446312,-5.16953,0
2.81,0.000399828,0.00493693,0,-0.418849,-5.17179,0
2.82,0.000373601,0.00493895,0,-0.391374,-5.17391,0
2.83,0.000347364,0.00494083,0,-0.363889,-5.17587,0
2.84,0.000321117,0.00494257,0,-0.336393,-5.1777,0
2.85,0.00029486,0.00494417,0,-0.308887,-5.17937,0
2.86,0.000268596,0.00494563,0,-0.281373,-5.18091,0
2.87,0.000242324,0.00494695,0,-0.253851,-5.18229,0
2.88,0.000216045,0.00494814,0,-0.226322,-5.18353,0
2.89,0.000189759,0.00494918,0,-0.198787,-5.18462,0
